,last_scraped,host_name,host_since,host_location,host_response_time,host_is_superhost,host_has_profile_pic,host_identity_verified,property_type,room_type,bathrooms_text,has_availability,calendar_last_scraped,first_review,last_review,license,instant_bookable,Unnamed: 0,id,host_id,host_response_rate,host_acceptance_rate,host_listings_count,host_total_listings_count,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_90,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_location,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
12,2024-09-18,Michelle,2010-10-06,"Boston, MA",within a few hours,t,t,t,Private room in rental unit,Private room,1 shared bath,t,2024-09-18,2011-01-01,2024-02-29,STR-415714,f,12,60029,255183,1.0,1.0,5.0,6.0,1.0,1.0,1.0,1.0,80.0,29.0,29,29.0,29.0,29.0,29.0,29.0,29.0,0,17,21.0,2.0,0.0,4.73,4.65,4.57,4.87,4.16,1.0,4.0,0.0,0.87
13,2024-09-18,Anne,2009-07-22,"Boston, MA",within a few hours,t,t,t,Entire rental unit,Entire home/apt,1 bath,t,2024-09-18,2013-11-10,2020-09-08,STR-415714,f,13,60356,26988,1.0,1.0,8.0,32.0,2.0,1.0,1.0,1.0,100.0,32.0,365,32.0,32.0,365.0,365.0,32.0,365.0,17,77,19.0,0.0,0.0,4.84,4.89,4.63,4.84,5.0,4.0,0.0,0.0,0.14
14,2024-09-18,Anne,2009-07-22,"Boston, MA",within a few hours,t,t,t,Entire condo,Entire home/apt,1 bath,t,2024-09-18,2012-11-16,2024-05-31,STR-415714,f,14,67774,26988,1.0,1.0,8.0,32.0,3.0,1.0,1.0,2.0,135.0,14.2,260,13.3,91.0,260.0,260.0,15.0,260.0,0,0,49.0,1.0,0.0,4.84,4.85,4.71,4.9,4.98,4.0,0.0,0.0,0.34
15,2024-09-18,Michelle,2010-10-06,"Boston, MA",within a few hours,t,t,t,Entire rental unit,Entire home/apt,1 bath,t,2024-09-18,2011-05-23,2019-11-15,STR-415714,f,15,69369,255183,1.0,1.0,5.0,6.0,3.0,1.0,2.0,2.0,100.0,29.0,180,29.0,29.0,180.0,180.0,29.0,180.0,1,6,118.0,0.0,0.0,4.75,4.78,4.6,4.88,4.22,1.0,4.0,0.0,0.73
16,2024-09-18,Christiane,2011-03-01,"Boston, MA",within a few hours,f,t,f,Private room in rental unit,Private room,1 bath,t,2024-09-18,2011-09-19,2023-11-04,STR-415924,f,16,77681,416912,1.0,0.83,1.0,2.0,2.0,1.0,1.0,1.0,140.0,29.0,730,29.0,29.0,730.0,730.0,29.0,730.0,30,90,71.0,6.0,0.0,4.36,4.52,4.39,4.9,4.73,0.0,1.0,0.0,0.45
17,2024-09-18,Hermina,2010-05-05,"Boston, MA",within an hour,f,t,t,Private room in home,Private room,1.5 baths,t,2024-09-18,2011-03-06,2024-09-02,STR-492781,f,17,77691,119019,1.0,0.83,5.0,8.0,2.0,1.5,0.0,1.0,110.0,1.0,365,1.0,1.0,365.0,365.0,1.0,365.0,18,78,21.0,3.0,1.0,4.41,4.49,4.37,4.58,4.15,1.0,4.0,0.0,1.83
18,2024-09-18,Terry,2009-02-19,"Boston, MA",within an hour,t,t,t,Entire condo,Entire home/apt,1 bath,t,2024-09-18,2011-08-19,2024-08-23,STR-446659,f,18,163941,8229,1.0,0.99,11.0,14.0,6.0,1.0,2.0,3.0,263.0,3.0,365,3.0,3.0,365.0,365.0,3.0,365.0,4,44,21.0,13.0,1.0,4.69,4.84,4.81,4.89,4.44,10.0,0.0,0.0,1.76
19,2024-09-18,Dawn,2011-07-29,"Boston, MA",within a few hours,t,t,t,Entire rental unit,Entire home/apt,1 bath,t,2024-09-18,2011-08-19,2024-08-23,STR-539322,t,19,184893,887148,1.0,1.0,10.0,18.0,4.0,1.0,1.0,1.0,250.0,14.2,1000,13.3,91.0,1000.0,1000.0,15.0,1000.0,30,90,0.0,0.0,0.0,4.69,4.84,4.81,4.89,4.44,2.0,1.0,0.0,0.38
20,2024-09-18,Jill,2011-08-13,"Boston, MA",within a day,t,t,t,Private room in condo,Private room,1 shared bath,t,2024-09-18,2011-09-24,2024-08-28,STR-409453,f,20,197727,964356,1.0,0.78,1.0,2.0,1.0,1.0,1.0,1.0,67.0,30.0,90,30.0,30.0,90.0,90.0,30.0,90.0,7,37,60.0,4.0,1.0,4.97,4.95,4.97,5.0,4.9,0.0,1.0,0.0,0.38
21,2024-09-18,Chris & Kristina,2011-08-13,"Boston, MA",within an hour,t,t,t,Entire rental unit,Entire home/apt,1 bath,t,2024-09-18,2011-10-18,2024-09-09,STR-409453,f,21,197972,965697,1.0,0.99,2.0,4.0,2.0,1.0,1.0,1.0,142.0,3.0,150,3.0,3.0,150.0,150.0,3.0,150.0,4,20,21.0,7.0,0.3,4.88,4.93,4.92,4.96,4.91,2.0,0.0,0.0,3.31
